index,assertion,final_verdict,confidence,reasoning
28,"Endogenous fatty acid synthesis is frequently upregulated in cancer because fatty acids serve as substrates for lipid signaling molecules, protein lipidation, phospholipid synthesis, or energy storage as triglycerides.",Uncertain,0.7,"Documents 1, 3, 5, and 8 confirm that endogenous fatty acid synthesis (lipogenesis) and/or uptake is upregulated in cancer and that fatty acids are used for energy (ATP/FAO), proliferation, and lipid metabolism reprogramming. Document 8 mentions phospholipid synthesis. However, the evidence does not explicitly list *all* the stated functions (lipid signaling molecules, protein lipidation, energy storage as triglycerides) as the *reasons* for upregulation, although some are mentioned (energy/FAO in Doc 5, phospholipid remodeling in Doc 8). The specific combination of reasons provided in the assertion is not fully enumerated across the documents."
29,"ATP citrate lyase (ACLY) cleaves cytosolic citrate into acetyl-CoA and oxaloacetate.",Supported,0.95,"Document 1 states ACL converts cytosolic citrate into acetyl-CoA and oxaloacetate. Document 2 states ACLY cleaves citrate to acetyl-CoA and oxaloacetate in the presence of ATP and CoA. Document 5 identifies ACLY as ATP citrate lyase."
30,"ATP citrate lyase (ACLY) is found to be elevated in many types of cancers, including breast, lung, liver, and bladder cancers.",Supported,1.0,"DOCUMENT 1 explicitly states that ACLY expression and activity are significantly upregulated in several malignancies including bladder, breast, lung, and liver cancers. This directly supports the assertion."
31,"Inhibition of the mitochondrial citrate transporter protein (CTP) resulted in anti-tumorigenesis in vivo.",Uncertain,0.6,"DOCUMENT 2 states that a specific SLC25A1 (mitochondrial citrate carrier) inhibitor is synthetic lethal with cisplatin/EGFR inhibitor and restores antitumor responses. This suggests an anti-tumor effect from inhibition. However, the assertion refers to the 'mitochondrial citrate transporter protein (CTP)' resulting in 'anti-tumorigenesis in vivo,' and the evidence primarily discusses SLC25A1 inhibitors or BTC as a CTP inhibitor without explicitly stating 'anti-tumorigenesis in vivo' for CTP inhibition generally."
32,"Mitochondria fatty acid β-oxidation (FAO) plays a crucial role in the bioenergy metabolism exploited by cancer cells.",Supported,1.0,"DOCUMENT 1 states that FAO has a crucial role in the survival of cancer cells under metabolic stress. DOCUMENT 2 states FAO plays a vital role in tumors, affecting proliferation, metastasis, and stemness. DOCUMENT 4 notes FAO converts fatty acids into acetyl-CoA for proliferation and survival. This supports the assertion that FAO plays a crucial role in bioenergy metabolism exploited by cancer cells."
33,"Cancer-associated fibroblasts (CAFs) overexpress FASN and undergo lipidomic reprogramming to help colorectal cancer cells meet their high energy demands by providing them with newly synthesized lipids.",Uncertain,0.45,"DOCUMENT 1 states that CAFs from CRC tissues undergo lipidomic reprogramming and enhance CRC cell migration via lipid metabolites. DOCUMENT 2 mentions CAFs undergo metabolic reprogramming to support metastasis. However, none of the provided documents explicitly state that CAFs overexpress FASN to provide newly synthesized lipids to meet CRC energy demands."
34,"Stromal catabolites, such as free fatty acids, promote tumor growth and act as chemoattractants to metastasizing cancer cells.",Supported,1.0,"DOCUMENT 1 explicitly states that 'stromal catabolites, such as free fatty acids, promote tumor growth, and act as chemoattractants to metastasizing cancer cells.'"
35,"Glutamine is one of the most abundant nonessential amino acids in the bloodstream.",Supported,1.0,"DOCUMENT 1 states glutamine is the most abundant nonessential amino acid in human blood. DOCUMENT 2 states glutamine is the most abundant free amino acid in human blood. DOCUMENT 3 states glutamine is the most abundant amino acid in human plasma."
36,"Many tumor cells are reliant on exogenous glutamine and have been reported to die in its absence.",Supported,1.0,"DOCUMENT 1 states 'Many tumor cells are reliant on exogenous glutamine and have been reported to die in its absence.' DOCUMENT 2 states 'most cancer cells are dependent on glutamine and cannot survive in the absence of exogenous glutamine.' DOCUMENT 4 notes glutamine deprivation can lead to growth arrest or death in certain tumor cells."
37,"α-KG formation from glutamate can be catalyzed by either glutamate dehydrogenase (GDH) or aminotransferases.",Uncertain,0.0,"The provided documents discuss the Opal card system (Documents 1, 2, 3, 4, 5, 6, 7, 8) and do not contain any information regarding the enzymatic catalysis of $\alpha$-KG formation from glutamate by glutamate dehydrogenase (GDH) or aminotransferases."
38,"Glutathione plays an important role in the neutralization of mitochondrial reactive oxygen species (ROS).",Supported,1.0,"DOCUMENT 1 states Glutathione (GSH) is crucial for neutralizing reactive oxygen species (ROS) generated during mitochondrial processes. DOCUMENT 6 mentions mitochondrial glutathione can prevent cell damage from reactive oxygen species."
39,"SHMT catalyzes the conversion of serine to glycine and is regulated by c-MYC.",Supported,0.95,"DOCUMENT 1 states SHMT catalyzes the conversion of serine to glycine and is regulated by c-Myc. DOCUMENT 5 states the conversion of serine to glycine is catalyzed by SHMT. DOCUMENT 2 mentions c-Myc plays a direct role in serine/glycine metabolism."
40,"Mice fed diets lacking serine and glycine showed a reduction in tumor sizes and survived longer than those fed diets containing the amino acids.",Supported,1.0,"Documents 1, 2, 3, and 5 explicitly state that diets lacking serine and glycine slow tumor growth and/or prolong survival in mice (e.g., Document 1: 'Cutting 2 non-essential amino acids from the diet of mice slowed tumor growth and prolonged survival'; Document 3: 'Feeding a diet lacking serine and glycine (the -SG diet) to both strains reduced tumour burden')."
41,"Inhibition of GLS2 can block glutaminolysis, decrease the hepatic metabolic flux from glutamine to glucose, decrease the initial blood glucose level, and increase insulin sensitivity.",Uncertain,0.6,"Document 1 states GLS2 knockout results in lower fasting blood glucose levels in insulin-resistant mice. Document 2 suggests GLS2 links glutamine and glucose metabolism. However, Document 3 explicitly states that despite a reduction in glutamine contribution to hepatic glucose, there was *no significant lowering of blood glucose* in GLS2-sh-injected animals. The assertion claims inhibition *decreases* blood glucose and *increases* insulin sensitivity, which is not consistently supported across the evidence regarding blood glucose levels."
42,"Cancer-associated fibroblasts (CAFs) are a major component of the tumor microenvironment (TME).",Supported,1.0,"Documents 1, 3, 5, and 7 all state that Cancer-associated fibroblasts (CAFs) are a major component of the Tumor Microenvironment (TME). Document 1 states CAFs are the 'major component of TME'."
43,"Pyruvate and lactate were believed to be secreted by the hypoxic core of the tumor through monocarboxylate transporters (MCT4) for the adjacent oxygenated cancer cells to take up via MCT1 and utilize for the TCA cycle.",Uncertain,0.4,"Documents 2, 3, 4, 5, and 6 discuss MCT1/MCT4 and the transport of pyruvate/lactate, suggesting lactate transport disruption or pyruvate disruption. Document 8 mentions hypoxic cells release lactic acid, creating a gradient. However, none of the provided snippets explicitly state the full sequence described: that hypoxic core secretes pyruvate/lactate via MCT4 for oxygenated cells to take up via MCT1 for TCA cycle utilization."
44,"CAFs provide lactate and ketone bodies, acidic compounds that can form acetyl-CoA in a reversible manner, to adjacent cancer cells.",Uncertain,0.55,"Document 1 confirms CAFs secrete lactic acid/lactate. Document 4 confirms stromally derived ketone bodies are converted to acetyl-CoA in cancer cells. Document 5 confirms acetyl-CoA is essential. However, there is no single document confirming that CAFs provide *both* lactate and ketone bodies, nor that lactate forms acetyl-CoA in a *reversible manner* (though lactate conversion to acetyl-CoA is implied by its use in TCA cycle fueling, the reversibility is not explicitly stated)."
45,"CAFs can transfer functional mitochondria to prostate cancer cells.",Supported,1.0,"Document 1 explicitly states that primary CAFs have been shown to transfer mitochondria to cancer cells via tunneling nanotubes in prostate cancer. Document 2 refers to CAFs promoting functional rewiring of mitochondria in PCa cells."
46,"CAF-derived exosomes (CDEs) are taken up by cancer cells in a KRAS-independent mechanism.",Supported,1.0,"Document 3 states that prostate CAF-derived exosomes (CDEs) supply metabolites to pancreatic cancer cells via a Kras-independent mechanism. Document 1 also mentions CDEs supplying metabolites via a Kras-independent mechanism."
47,"CDEs are capable of reprogramming the metabolic activity of pancreatic and prostate cancer cells.",Supported,1.0,"Document 8 mentions that Zhao et al. showed CAF-derived exosomes (CDEs) are taken up by cancer cells and are capable of reprogramming the metabolic activity of pancreatic and prostate cancer cells."
48,"In pancreatic ductal adenocarcinoma (PDAC), alanine outcompetes glucose and glutamine-derived carbon to fuel the TCA cycle.",Supported,1.0,"Documents 1, 2, and 3 explicitly state that alanine outcompetes glucose and glutamine-derived carbon in PDAC to fuel the TCA cycle."
49,"Pancreatic stellate cells (PSCs) secrete alanine through an autophagy-dependent mechanism.",Supported,1.0,"Documents 2, 3, 4, 5, 6, 7, and 8 all reference studies showing that alanine secretion by Pancreatic Stellate Cells (PSCs) is dependent on PSC autophagy, often citing the mechanism as 'autophagic alanine secretion'. Document 1 also mentions PSCs secreting alanine upon autophagy stimulation."
50,"PSCs utilize the SLC1A4 (Alanine-Serine-Cysteine Transporter 1) to rapidly exchange and maintain environmental alanine concentrations.",Supported,1.0,"Documents 1 and 2 explicitly state that PSCs utilize SLC1A4 and other transporters to rapidly exchange and maintain environmental alanine concentrations."
51,"PDAC cells upregulate SLC38A2 (Sodium-coupled Neutral Amino acid Transporter 2) to actively uptake alanine from the microenvironment.",Supported,1.0,"Documents 1, 2, and 3 confirm that PDAC cells upregulate SLC38A2 to take up alanine from the microenvironment to fuel proliferation and meet increased demand."
52,"GPT1 (Cytosolic glutamic-pyruvic transaminase) converts alanine to pyruvate in the cytoplasm.",Uncertain,0.6,"Documents 1 and 2 state that GPT1 is the cytosolic glutamic-pyruvic transaminase that synthesizes alanine from pyruvate. Document 5 notes that a single enzyme is sufficient to generate pyruvate from alanine, but the provided evidence does not explicitly state that GPT1 converts alanine *to* pyruvate in the cytoplasm, only that it synthesizes alanine *from* pyruvate in the cytosol."
53,"GPT2 is the mitochondrial isoform that PDAC cells selectively express for direct mitochondrial alanine utilization.",Uncertain,0.7,"Documents 1 and 6 indicate that GPT2 is the mitochondrial isoform and that PDAC cells express it, and Document 2 suggests alanine carbon fuels mitochondrial metabolism. However, the evidence does not explicitly state that PDAC cells *selectively* express GPT2 for *direct mitochondrial alanine utilization* as the primary function, although Document 4 supports its role in sustaining the TCA cycle."
54,"Alanine-derived pyruvate does not equilibrate with cytosolic pyruvate in cancer cells.",Supported,1.0,"Document 1 explicitly states that uptake of alanine from the environment and subsequent mitochondrial import is uncoupled from cytosolic pyruvate and can occur independently of it, implying no equilibration."
55,"More than 20% of palmitate and 10% of stearate contain alanine-derived carbon in isotope tracing studies.",Supported,1.0,"Document 5 states that isotope tracing studies show more than 20% of palmitate and 10% of stearate contain alanine-derived carbon."
56,"Loss of SLC38A2 in PDAC cells leads to passive efflux of newly synthesized alanine to the environment.",Supported,1.0,"Document 3 states that loss of SLC38A2 leads to increased de novo synthesis and passive efflux of newly synthesized alanine to the environment. Document 1 confirms the profound deficiency to internalize/concentrate alanine leading to passive efflux."
57,"Glutamine provides nitrogen for alanine synthesis through transamination.",Supported,0.8,"Document 3 mentions that glutamic acid (derived from glutamine) is a substrate for alanine transaminase, and Document 8 notes that glutamine catabolism leads to alanine secretion, suggesting glutamine provides the nitrogen source via transamination."
58,"AZD3965, an MCT1 inhibitor, is currently being tested in a phase I clinical trial in solid tumors.",Supported,1.0,"Documents 1, 3, 4, 5, and 8 confirm that AZD3965, an MCT1 inhibitor, is in a phase I clinical trial in solid tumors or advanced cancer."
59,"The first fatty acid synthase (FAS) inhibitor, TVB-2640, is in clinical trials for cancer.",Supported,1.0,"Document 5 states that the FASN inhibitor TVB-2640 is currently being examined in multiple phase II clinical trials. Document 6 mentions a Phase 1 study in solid malignant tumors."
60,"Low-glucose environments result in cancer cells that are less susceptible to ACLY inhibition because cancer cells can use acetate instead of citrate to produce acetyl-CoA for DNLS.",Supported,0.95,"Documents 1, 2, and 3 indicate that in low-glucose environments or in the absence of ACLY, cancer cells can use acetate to generate cytosolic acetyl-CoA for processes like de novo lipogenesis (DNL). Document 2 explicitly states that acetate supplementation partially rescued cancer cells from ACLY suppression-induced proliferation arrest, implying less susceptibility to ACLY inhibition when acetate is available."
61,"Pancreatic tumors treated with BPTES, a glutaminase 1 (GLS1) inhibitor encapsulated in a nanoparticle, decreased tumor sizes.",Uncertain,0.65,"Document 1 suggests that GLS1 inhibitors cause regression of pancreatic tumors. Document 4 states that BPTES nanoparticle monotherapy led to 'modest antitumor effects' in a mouse model of pancreatic tumor tissue. Document 2 states that glutaminase inhibition reduced tumor growth but did not specify if this was due to the nanoparticle encapsulation or the drug itself, and the assertion claims 'decreased tumor sizes,' which is stronger than 'modest antitumor effects' or 'reduced tumor growth.' The evidence is suggestive but not definitively confirming a decrease in tumor size specifically from the BPTES nanoparticle treatment."
62,"Metformin can be used to inhibit glycolysis and block the function of CAFs.",Supported,1.0,"Document 1 explicitly states, 'Metformin can be used to inhibit glycolysis and block the function of CAFs, which promote cancer cell growth.' Documents 2 and 3 also support metformin's role in CAFs inhibition and TME modulation."
63,"The Warburg effect, the increased rate of glycolysis in tumorigenic cells, can be observed even in conditions of normal oxygen levels.",Supported,1.0,"Documents 1, 2, 4, and 5 all state that the Warburg effect is characterized by enhanced glycolysis (conversion of glucose to lactate) observed in tumor cells even in the presence of normal or adequate oxygen levels (aerobic conditions)."
64,"In c-Myc-driven HCC, glucose catabolism through glycolysis is elevated via the activation of pyruvate kinase.",Supported,1.0,"Documents 1, 2, and 3 explicitly report that increased glucose catabolism through glycolysis and increased pyruvate kinase activity are associated with c-MYC-driven liver tumors (HCC)."
65,"Inhibition of glycolysis and increase in oxidative phosphorylation can re-sensitize HCC cells to chemotherapeutics such as sorafenib, cisplatin, and isoliensinine.",Uncertain,0.7,"Document 2 mentions that inhibition of glycolysis and increase in oxidative phosphorylation can re-sensitize HCC cells to sorafenib, cisplatin, and isoliensinine. However, the provided evidence documents 1, 3, 4, 5, 6, 7, and 8 are general definitions of 'inhibition' or context snippets that do not contain the specific experimental finding described in Document 2."
66,"Solid tumors are heterogeneous structures.",Supported,1.0,"Document 1 states that 'Many solid tumors exhibit significant genetic, cellular, and biophysical heterogeneity.' Document 3 discusses how different cell types contribute to the heterogeneity of cancer tissue in space. Document 5 notes that human cancers frequently display substantial intra-tumor heterogeneity."
67,"Tumor hypoperfusion, secondary to the hyperpermeability of the aberrant vasculature, along with low oxygen, depleted nutrition, low pH, and high interstitial pressure can cause chemoresistance.",Supported,1.0,"Document 2 explicitly states that 'Tumor hypoperfusion, secondary to the hyperpermeability of the aberrant vasculature, along with low oxygen, depleted nutrition, low pH, and high interstitial pressure can cause chemoresistance.' Document 1 supports the role of high interstitial pressure in impeding blood flow."
68,"Cancer cells exhibit higher glucose metabolism rates and preferentially utilize glycolysis over oxidative phosphorylation, especially in hypoxic conditions (Warburg effect), compared to normal cells.",Supported,0.95,"Document 2 states the Warburg effect describes the preference of cancer cells to favor glycolysis over oxidative phosphorylation. Document 3 notes tumor cells exhibit enhanced glycolysis even under aerobic conditions compared to normal tissues. Document 2 (from context) mentions that cancer cells utilize glycolysis over oxidative phosphorylation, especially in hypoxic conditions, compared to normal cells."
69,"Dauricine dose-dependently suppressed glucose glycolysis and increased oxidative phosphorylation by downregulating the expression of hexokinase 2 and pyruvate kinase M2 in HCC cells.",Supported,1.0,"Documents 1 and 2 state that in HCC cells, Dauricine (Dau) dose-dependently inhibited glucose glycolysis and increased oxidative phosphorylation, and mechanistically, Dau downregulated the expression of hexokinase 2 (HK2) and pyruvate kinase M2 (PKM2)."
